course_id,type_id,title,semester,session,days,start_time,end_time,status_number,instructor,units
Fall2024-1310,LAB,BIOL 110,Fall2024,7W2,Mo,14.45,17.45,20,"Xiangdong Gao, Suhua Li, Mianmian Wang, Jianbo Yue",0.0
Fall2024-1542,SEM,BIOL 111,Fall2024,7W1,MoTuWeTh,10.0,11.15,24,Pedro Rada,4.0
Fall2024-1543,LAB,BIOL 111,Fall2024,7W1,Th,14.45,17.45,24,"Suhua Li, Pedro Rada, Ailian Tan, Chenxi Zhai",0.0
Fall2024-1224,LEC,BIOL 201,Fall2024,7W1,MoTuWeTh,10.0,11.15,40,Ferdinand Kappes,4.0
Fall2024-1225,LAB,BIOL 201,Fall2024,7W1,Tu,11.3,14.3,20,"Ferdinand Kappes, Suhua Li, Yingxue Li, Ailian Tan",0.0
Fall2024-1227,REC,BIOL 201,Fall2024,7W1,Th,13.15,14.3,40,Ferdinand Kappes,0.0
Fall2024-1226,LAB,BIOL 201,Fall2024,7W1,We,14.45,17.45,20,"Ferdinand Kappes, Suhua Li, Yingxue Li, Ailian Tan",0.0
Fall2024-1337,LEC,BIOL 202,Fall2024,7W2,TuTh,12.0,14.3,40,Eunyu Kim,4.0
Fall2024-1339,LAB,BIOL 202,Fall2024,7W2,Tu,14.45,17.45,20,"Eunyu Kim, Suhua Li, Jin Miao, Mianmian Wang",0.0
Fall2024-1338,REC,BIOL 202,Fall2024,7W2,We,18.0,19.15,40,Eunyu Kim,0.0
Fall2024-1340,LAB,BIOL 202,Fall2024,7W2,Th,14.45,17.45,20,"Eunyu Kim, Suhua Li, Jin Miao, Mianmian Wang",0.0
Fall2024-1278,SEM,BIOL 208,Fall2024,7W1,MoWe,12.0,14.3,40,Chuanhui Gu,4.0
Fall2024-1312,LEC,BIOL 212,Fall2024,7W2,MoWe,8.3,11.0,40,Linfeng Huang,4.0
Fall2024-1314,LAB,BIOL 212,Fall2024,7W2,Tu,11.3,14.3,20,"Linfeng Huang, Suhua Li, Yingxue Li, Jin Miao, Ailian Tan",0.0
Fall2024-1313,REC,BIOL 212,Fall2024,7W2,Th,8.3,9.45,40,Linfeng Huang,0.0
Fall2024-1315,LAB,BIOL 212,Fall2024,7W2,We,14.45,17.45,20,"Linfeng Huang, Suhua Li, Yingxue Li, Ailian Tan, Mianmian Wang",0.0
Fall2024-1228,SEM,BIOL 304,Fall2024,7W1,MoTuWeTh,10.0,11.15,24,Linfeng Huang,4.0
Fall2024-1229,LAB,BIOL 304,Fall2024,7W1,Th,11.3,14.3,24,"Linfeng Huang, Suhua Li, Jin Miao, Mianmian Wang",0.0
Fall2024-1370,LEC,BIOL 305,Fall2024,7W2,MoWe,12.0,14.3,40,Hyun-Min Kim,4.0
Fall2024-1371,REC,BIOL 305,Fall2024,7W2,Tu,14.45,16.0,40,Hyun-Min Kim,0.0
Fall2024-1343,SEM,BIOL 306,Fall2024,7W2,TuTh,8.3,11.0,24,Hyun-Min Kim,4.0
Fall2024-1344,REC,BIOL 306,Fall2024,7W2,Tu,13.15,14.3,24,Hyun-Min Kim,0.0
Fall2024-1294,SEM,BIOL 310,Fall2024,7W1,MoWe,14.45,17.15,18,Anastasia Tsigkou,4.0
Fall2024-1257,LEC,BIOL 315,Fall2024,7W1,TuTh,14.45,17.15,24,Joohyun Lee,4.0
Fall2024-1258,LAB,BIOL 315,Fall2024,7W1,Tu,11.3,14.3,18,"Joohyun Lee, Suhua Li, Jin Miao",0.0
Fall2024-1409,SEM,BIOL 320,Fall2024,7W2,MoWe,14.45,17.15,32,Anastasia Tsigkou,4.0
Fall2024-1384,SEM,BIOL 407,Fall2024,7W2,MoWe,12.0,14.3,18,Xiangdong Gao,4.0
Fall2024-1545,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,200,To Be Announced,4.0
Fall2024-1978,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, Kai Huang",4.0
Fall2024-1546,IND,CAPSTONE 495,Fall2024,7W2,,,,200,To Be Announced,4.0
Fall2024-1574,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Ming Li",4.0
Fall2024-1575,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Emily McWilliams",4.0
Fall2024-1576,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, James Miller",4.0
Fall2024-1577,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Lincoln Rathnam",4.0
Fall2024-1578,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, Yu Wang",4.0
Fall2024-1579,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"Andrew Field, -, -, -",4.0
Fall2024-1580,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, Seth Henderson, -, -",4.0
Fall2024-1581,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Chenkai Wu",4.0
Fall2024-1582,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Lijing Yan",4.0
Fall2024-1583,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"Jingbo Cui, -, -, -",4.0
Fall2024-1584,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Anastasia Tsigkou",4.0
Fall2024-1585,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Annemieke van den Dool",4.0
Fall2024-1586,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Liqi Ren",4.0
Fall2024-1587,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"Jung Choi, -, -, -",4.0
Fall2024-1588,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Shixin Xu",4.0
Fall2024-1589,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Xiaoqian Xu",4.0
Fall2024-1590,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, Ming Gu, -, -",4.0
Fall2024-1591,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, Coraline Goron, -, -",4.0
Fall2024-1592,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Shan Wang",4.0
Fall2024-1593,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"Benjamin Bacon, -, -, -",4.0
Fall2024-1594,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Daniel Weissglass",4.0
Fall2024-1595,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Pedro Rada",4.0
Fall2024-1596,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Italo Simonelli",4.0
Fall2024-1597,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"Stephanie Anderson, -, -, -",4.0
Fall2024-1598,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Zairong Xiang",4.0
Fall2024-1599,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"Charles Chang, -, -, -",4.0
Fall2024-1600,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, Gergely Horvath, -",4.0
Fall2024-1601,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Robin Rodd",4.0
Fall2024-1602,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Megan Rogers",4.0
Fall2024-1603,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Luyao Zhang",4.0
Fall2024-1604,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"Meifang Chen, -, -, -",4.0
Fall2024-1605,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"Huansheng Cao, -, -, -",4.0
Fall2024-1606,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, Linfeng Huang, -",4.0
Fall2024-1607,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Xiawa Wang",4.0
Fall2024-1608,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Marcus Werner",4.0
Fall2024-1609,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Dongmian Zou",4.0
Fall2024-1610,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, Paula Ganga, -, -",4.0
Fall2024-1612,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Keping Wu",4.0
Fall2024-1613,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Joseph Mazor",4.0
Fall2024-1614,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Peter Sattler",4.0
Fall2024-1615,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, Nathan Hauthaler, -, -",4.0
Fall2024-1616,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Peng Sun",4.0
Fall2024-1617,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, Chuanhui Gu, -, -",4.0
Fall2024-1618,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Sze Chai Kwok",4.0
Fall2024-1619,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"Chia-chien Chen, -, -, -",4.0
Fall2024-1620,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Joohyun Lee",4.0
Fall2024-1621,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"Jaehee Choi, -, -, -",4.0
Fall2024-1622,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Jiahua Yue",4.0
Fall2024-1623,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Fan Liang",4.0
Fall2024-1624,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"Kent Yecheng Cao, -, -, -",4.0
Fall2024-1625,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"SeongKyung Cho, -, -, -",4.0
Fall2024-1626,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Ka Leung Lam",4.0
Fall2024-1627,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Mustafa Misir",4.0
Fall2024-1628,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Xin Tong",4.0
Fall2024-1629,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Camila Saez",4.0
Fall2024-1630,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Kristinn Mar",4.0
Fall2024-1632,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Chen Zhang",4.0
Fall2024-1633,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"Maximiliano Amici, -, -, -",4.0
Fall2024-1634,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Feng Tian",4.0
Fall2024-1635,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,15,"-, -, Ming-Chun Huang, -",4.0
Fall2024-1636,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Peter Wergin",4.0
Fall2024-1637,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Layla Shelmerdine",4.0
Fall2024-1638,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"Dangxing Chen, -, -, -",4.0
Fall2024-1639,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Renee Richer",4.0
Fall2024-1640,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Baozhen Luo",4.0
Fall2024-1641,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Claudia Nisa",4.0
Fall2024-1642,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Sajid Umar",4.0
Fall2024-1643,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Ferdinand Kappes",4.0
Fall2024-1644,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Travis Wilkerson",4.0
Fall2024-1645,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Wen Zhou",4.0
Fall2024-1647,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Zuchuan Li",4.0
Fall2024-1648,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"Chi-Yeung Choi, -, -, -",4.0
Fall2024-1649,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Fangsheng Zhu",4.0
Fall2024-1650,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Feifan Zhang",4.0
Fall2024-1651,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Bing Luo",4.0
Fall2024-1652,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Yuan Wang",4.0
Fall2024-1653,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, Wumeng He, -, -",4.0
Fall2024-1654,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Peiyuan Li",4.0
Fall2024-1655,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Markus Neumann",4.0
Fall2024-1656,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Charley Watson",4.0
Fall2024-1657,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Shu Kit Eric Tam",4.0
Fall2024-1658,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Will Pang",4.0
Fall2024-1659,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Jinhua Li",4.0
Fall2024-1660,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"Nellie Chu, -, -, -",4.0
Fall2024-1661,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"Zach Fredman, -, -",4.0
Fall2024-1662,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Ming Li",4.0
Fall2024-1663,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Andrew MacDonald",4.0
Fall2024-1664,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"Kaley Clements, -, -, -",4.0
Fall2024-1665,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Xiaochen Zhang",4.0
Fall2024-1666,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, Seth Henderson, -, -",4.0
Fall2024-1667,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Lijing Yan",4.0
Fall2024-1668,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"Jingbo Cui, -, -, -",4.0
Fall2024-1669,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Anastasia Tsigkou",4.0
Fall2024-1670,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, David Landry",4.0
Fall2024-1671,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"Jung Choi, -, -, -",4.0
Fall2024-1672,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, Kolleen Guy, -, -",4.0
Fall2024-1673,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Shixin Xu",4.0
Fall2024-1674,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Xiaoqian Xu",4.0
Fall2024-1675,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, Coraline Goron, -, -",4.0
Fall2024-1676,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Daniel Weissglass",4.0
Fall2024-1677,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Zhaojin Zeng",4.0
Fall2024-1678,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"Charles Chang, -, -, -",4.0
Fall2024-1679,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, Gergely Horvath, -",4.0
Fall2024-1680,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Robin Rodd",4.0
Fall2024-1681,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Luyao Zhang",4.0
Fall2024-1682,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"Meifang Chen, -, -, -",4.0
Fall2024-1683,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, Linfeng Huang, -",4.0
Fall2024-1684,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"Cici Cheng, -, -, -",4.0
Fall2024-1685,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Peter Sattler",4.0
Fall2024-1686,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Peng Sun",4.0
Fall2024-1687,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, Chuanhui Gu, -, -",4.0
Fall2024-1688,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"Chia-chien Chen, -, -, -",4.0
Fall2024-1689,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Joohyun Lee",4.0
Fall2024-1690,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Fan Liang",4.0
Fall2024-1691,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"SeongKyung Cho, -, -, -",4.0
Fall2024-1692,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Ding Ma",4.0
Fall2024-1693,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Mustafa Misir",4.0
Fall2024-1694,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Xin Tong",4.0
Fall2024-1695,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Camila Saez",4.0
Fall2024-1696,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Kristinn Mar",4.0
Fall2024-1697,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Junjie Zhang",4.0
Fall2024-1698,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Wenting Ji",4.0
Fall2024-1699,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Zhenghui Huo",4.0
Fall2024-1700,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Weiwei Shi",4.0
Fall2024-1701,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Domna Kotsifaki",4.0
Fall2024-1702,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Ferdinand Kappes",4.0
Fall2024-1703,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, Pengzhan Guo, -, -",4.0
Fall2024-1704,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Yiu Wing Kam",4.0
Fall2024-1705,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, Kaizhu Huang, -",4.0
Fall2024-1706,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Bing Luo",4.0
Fall2024-1707,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Yuan Wang",4.0
Fall2024-1708,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Xinrong Lin",4.0
Fall2024-1709,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Peiyuan Li",4.0
Fall2024-1710,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Shenglan Tang",4.0
Fall2024-1711,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Ben Van Overmeire",4.0
Fall2024-1713,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Liqi Ren",4.0
Fall2024-1714,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"Helena Chen, -, -, -",4.0
Fall2024-1715,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Shan Wang",4.0
Fall2024-1727,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"Kaley Clements, -, -, -",4.0
Fall2024-1728,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Jianbo Yue",4.0
Fall2024-1729,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Myung-Joong Hwang",4.0
Fall2024-1730,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"Jaehee Choi, -, -, -",4.0
Fall2024-1785,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, Kim Gordon, -, -",4.0
Fall2024-1786,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Fangsheng Zhu",4.0
Fall2024-1811,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"Helena Chen, -, -, -",4.0
Fall2024-1812,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Wenting Ji",4.0
Fall2024-1815,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,10,"-, -, -, Yu Wang",4.0
Fall2024-1816,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Paul Stanley",4.0
Fall2024-1817,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, -, -, Cristiano Villa",4.0
Fall2024-1820,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, Kyle Fruh, -, -",4.0
Fall2024-1929,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,1,"Quinlan Bowman, -, -, -",4.0
Fall2024-1939,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,10,"-, Rebecca Hock, -, -",4.0
Fall2024-1947,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,1,"-, -, -, Ferdinand Kappes",4.0
Fall2024-1950,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,1,"-, -, -, Marcus Werner",4.0
Fall2024-1951,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,1,"-, -, -, Cristiano Villa",4.0
Fall2024-1954,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,1,"-, -, -, Adrienmbar Pouille",4.0
Fall2024-1957,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,1,"-, -, Kaizhu Huang, -",4.0
Fall2024-1959,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,1,"-, Chuanhui Gu, -, -",4.0
Fall2024-1960,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,1,"-, -, -, Jiahua Yue",4.0
Fall2024-1961,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,1,"Chi-Yeung Choi, -, -, -",4.0
Fall2024-1962,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,1,"-, -, -, Liqi Ren",4.0
Fall2024-1974,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,1,"-, Gergely Horvath, -",4.0
Fall2024-1992,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,1,"-, Joseph Giacomelli, -, -",4.0
Fall2024-1975,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,1,"-, -, -, Lin Jiu",4.0
Fall2024-1981,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,1,"-, -, -, Zhenyu Yang",4.0
Fall2024-1983,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,1,"-, -, -, Domna Kotsifaki",4.0
Fall2024-1985,IND,CAPSTONE 495,Fall2024,7W1,TBA,,,1,"-, -, -, David Landry",4.0
Fall2024-1998,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,1,Konstantinos Efstathiou,4.0
Fall2024-2007,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,1,"-, -, -, Pippa Morgan",4.0
Fall2024-2013,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,1,Keping Wu,4.0
Fall2024-2014,IND,CAPSTONE 495,Fall2024,7W2,TBA,,,1,Wumeng He,4.0
